Lambda,Err_Stable,Err_Unstable
1e-06,0.8963067649027749,0.47014080702703304
2.592943797404667e-06,0.8962676030585721,0.47013501702268423
6.723357536499335e-06,0.8961660820455425,0.47012000478892574
1.7433288221999873e-05,0.8959030013101614,0.470081085108786
4.520353656360241e-05,0.8952219051826241,0.46998021021620706
0.00011721022975334806,0.8934629394257907,0.4697189269268422
0.0003039195382313198,0.8889490904073731,0.469043307298122
0.0007880462815669912,0.8775521454620643,0.46730393999271036
0.0020433597178569417,0.8499184151930156,0.4628757364382645
0.005298316906283708,0.7890191252468418,0.4519114835792818
0.013738237958832637,0.6788845852360847,0.4264812522686263
0.03562247890262444,0.5328061239472816,0.3749661802489214
0.09236708571873865,0.3854762192998271,0.29186504692891246
0.2395026619987486,0.25236779640714085,0.1938455163707718
0.6210169418915616,0.15658724163752502,0.11610247643357488
1.6102620275609392,0.11385476851511292,0.07834955482921269
4.175318936560401,0.11092540610322095,0.07624236423658068
10.82636733874054,0.14427540120187768,0.10564356058615937
28.072162039411758,0.21995458138901244,0.1609661803720537
72.78953843983146,0.3234030126704294,0.258690036418958
188.73918221350996,0.4129180358309714,0.41841726303643323
489.3900918477499,0.4675679973640813,0.6128714468267445
1268.9610031679233,0.49701853950954067,0.783199991972468
3290.344562312671,0.5133761163768009,0.8925950294016909
8531.678524172814,0.5219974934165134,0.9495568536775579
22122.1629107045,0.5259972594216327,0.9784994110929409
57361.52510448681,0.5276813668196004,0.9949841194343925
148735.21072935118,0.5283555540914207,1.004149310754294
385662.04211634723,0.5286194946563352,1.0085412790872101
1000000.0,0.5287218878032022,1.0104146058355337
